cpu_clock,isa,l1_size,l2_size,l3_size,num-cpus,mem_type,mem_clock,mem_size
1.9,X86_64,32,1024,131072,24,PC4-2933V,3200,768
2.95,X86_64,32,1024,90112,64,PC4-2666V,2666,320
2.7,X86_64,32,512,131072,64,PC4-2933Y,2933,512
3.7,X86_64,32,1024,53248,10,PC4-2666V,2666,768
2.7,X86_64,32,1024,71680,2,PC4-2666V,2666,1024
3.5,X86_64,32,1024,45056,40,PC4-2666V,2666,1536
2.25,X86_64,32,1024,86016,24,PC4-2666V,2933,512
1.9,X86_64,32,1024,196608,20,PC4-3200AA,3200,192
2.1,X86_64,32,256,131072,112,PC4-3200AA,3200,512
3.0,X86_64,32,1024,30720,32,PC4-2666V,0,320
2.0,X86_64,32,1024,98304,44,PC4-3200AA,2666,128
2.25,X86_64,32,256,131072,40,PC4-2933Y,3200,384
2.0,X86_64,32,1024,122880,64,PC4-2933Y,2933,2048
2.35,X86_64,32,512,30720,40,PC4-3200AA,3200,2048
1.9,X86_64,32,1024,35840,36,PC4-2933Y,2933,320
2.95,X86_64,32,256,36864,48,PC4-3200AA,3200,384
2.4,X86_64,32,1024,2048,44,PC4-2666V,2666,32
2.1,X86_64,32,1024,30720,20,PC4-2666V,2666,384
2.2,X86_64,32,256,112640,16,PC4-2666V,3200,128
2.2,X86_64,32,1024,262144,36,PC4-3200AA,3200,32
2.25,X86_64,32,1024,49152,24,PC4-2666V,2933,768
2.2,X86_64,32,256,79872,28,PC4-2933Y,2666,768
3.3,X86_64,32,512,73728,10,PC4-3200AA,2666,768
2.1,X86_64,32,1024,49152,56,PC4-2933Y,3200,768
2.25,X86_64,32,1024,110592,28,PC4-3200AA,2933,512
2.5,X86_64,32,512,12288,112,PC4-3200AA,3200,1024
2.2,X86_64,32,1024,122880,16,PC4-3200AA,3200,768
2.3,X86_64,32,256,73728,36,PC4-2666V,2666,768
2.2,X86_64,32,1024,143360,56,PC4-3200AA,3200,320
2.4,X86_64,32,1024,98304,24,PC4-2666V,3200,512
2.0,X86_64,32,512,39936,40,PC4-2666V,2666,32
2.2,X86_64,32,256,73728,28,PC4-3200AA,2666,768
3.1,X86_64,32,1024,45056,10,PC4-2666V,2666,512
2.1,X86_64,32,1024,22528,44,PC4-2933V,2933,2048
2.0,X86_64,32,1024,116736,52,PC4-2933V,2933,768
1.8,X86_64,32,512,53248,12,PC4-2666V,2933,32
