cpu_clock,isa,l1_size,l2_size,l3_size,num-cpus,mem_type,mem_clock,mem_size
3.21,X86_64,32,744,5078,6,PC4-2666V,1679,355
1.97,X86_64,33,723,169977,31,PC4-2933V,2410,724
2.56,X86_64,32,841,117915,32,PC4-2933Y,1083,475
2.39,X86_64,34,339,269177,73,PC4-2666V,2859,586
2.3,X86_64,32,966,68144,43,PC4-2933Y,2740,996
2.37,X86_64,32,708,402193,94,PC4-3200AA,2125,459
2.71,X86_64,32,935,41101,52,PC4-2666V,2410,875
3.11,X86_64,32,498,50568,12,PC4-2666V,2659,268
2.23,X86_64,34,712,488497,111,PC4-2666V,2866,2056
3.59,X86_64,34,434,96343,4,PC4-3200AA,2604,706
2.88,X86_64,33,401,185028,25,PC4-3200AA,2230,123
2.81,X86_64,34,895,156362,32,PC4-2933Y,2275,195
1.87,X86_64,33,967,71756,38,PC4-3200AA,2458,478
2.58,X86_64,33,985,158004,55,0,2779,580
2.7,X86_64,32,876,153923,49,PC4-2666V,2169,284
2.72,X86_64,33,814,42741,38,PC4-3200AA,2833,483
2.06,X86_64,33,848,85920,29,PC4-2933Y,2943,315
2.29,X86_64,33,830,317465,107,PC4-2666V,3184,821
2.84,X86_64,33,807,78094,31,PC4-2666V,3131,301
2.07,X86_64,34,922,302988,42,PC4-3200AA,2559,1527
3.29,X86_64,32,843,57671,9,PC4-3200AA,2760,141
2.58,X86_64,32,1011,266032,78,PC4-3200AA,2212,943
3.03,X86_64,33,656,62940,27,PC4-3200AA,2999,264
2.2,X86_64,32,966,56861,20,PC4-2933Y,2993,182
3.06,X86_64,33,394,64312,7,PC4-2666V,2926,41
1.98,X86_64,33,957,219642,57,PC4-2933Y,2037,1073
2.34,X86_64,32,1012,79980,40,PC4-3200AA,2302,747
3.24,X86_64,32,701,394017,64,PC4-3200AA,2879,425
1.93,X86_64,33,892,375027,105,PC4-2666V,3061,1674
3.71,X86_64,33,853,76878,8,PC4-3200AA,2427,607
3.04,X86_64,32,886,197873,82,PC4-2933Y,3104,1300
1.75,X86_64,32,1023,128470,104,0,2609,637
3.67,X86_64,33,791,238062,20,PC4-2933V,3146,879
2.41,X86_64,32,865,123281,30,PC4-3200AA,3093,175
2.72,X86_64,32,949,241765,79,PC4-2666V,3096,1605
2.47,X86_64,32,575,200767,61,PC4-2666V,2614,88
2.7,X86_64,32,436,302465,52,PC4-2666V,2134,682
1.98,X86_64,32,923,165181,79,PC4-3200AA,3142,396
3.54,X86_64,33,868,200473,46,PC4-3200AA,2656,1399
3.09,X86_64,32,765,381069,58,PC4-3200AA,2591,2108
1.91,X86_64,32,963,22347,13,0,2583,319
2.74,X86_64,33,698,272508,26,0,2787,339
2.42,X86_64,32,807,72344,29,PC4-2666V,2737,145
3.15,X86_64,33,651,110325,18,PC4-2933V,2252,145
2.36,X86_64,32,807,204061,44,PC4-3200AA,2922,752
2.35,X86_64,32,892,50057,37,PC4-3200AA,3005,132
1.88,X86_64,33,990,70187,95,PC4-2666V,2519,945
2.42,X86_64,32,656,494388,79,PC4-3200AA,2800,1530
2.99,X86_64,33,466,55635,15,PC4-2666V,2677,424
2.33,X86_64,32,936,65678,31,PC4-2666V,2866,52
2.71,X86_64,33,786,183264,27,PC4-2666V,2465,906
2.18,X86_64,33,837,317278,68,PC4-3200AA,3157,459
3.22,X86_64,32,876,221401,90,PC4-2933V,3173,914
1.88,X86_64,33,1011,115002,113,PC4-2666V,1854,785
3.17,X86_64,33,825,43315,13,PC4-3200AA,1207,363
2.29,X86_64,34,803,262972,84,PC4-2400T,2903,879
2.54,X86_64,33,787,171692,40,PC4-2666V,3076,586
3.63,X86_64,33,504,157351,3,PC4-3200AA,2866,337
1.99,X86_64,32,653,332938,46,PC4-3200AA,3138,1244
3.87,X86_64,32,752,102425,5,0,2898,1550
2.1,X86_64,33,911,257772,68,PC4-2933Y,2222,796
2.3,X86_64,32,974,50272,33,PC4-2666V,1912,500
1.79,X86_64,32,992,242364,61,PC4-2933V,2904,885
2.06,X86_64,32,979,508508,142,PC4-2933Y,3074,1858
2.18,X86_64,33,577,77031,4,PC4-3200AA,2193,778
2.04,X86_64,34,1013,104019,62,PC4-2933Y,2132,980
3.16,X86_64,33,510,19696,4,PC4-2666V,2902,602
2.91,X86_64,32,982,123683,55,PC4-2933V,2696,1179
3.34,X86_64,33,722,187651,51,PC4-2933Y,2704,707
2.58,X86_64,34,669,51208,8,PC4-3200AA,2271,86
2.25,X86_64,33,891,122895,31,PC4-2666V,2404,630
2.04,X86_64,33,1014,27690,72,PC4-2933V,2924,810
3.02,X86_64,33,782,29420,22,PC4-2666V,3022,142
1.71,X86_64,33,986,212335,117,PC4-2666V,2959,994
2.77,X86_64,32,830,140686,38,PC4-2666V,3005,988
2.25,X86_64,33,1011,218212,80,PC4-3200AA,2577,1024
2.46,X86_64,34,459,43640,20,PC4-2666V,1784,36
1.93,X86_64,32,880,203529,74,PC4-2666V,2022,1018
2.83,X86_64,33,671,14565,5,PC4-2666V,3036,293
2.78,X86_64,35,501,191731,45,PC4-3200AA,2903,210
2.15,X86_64,34,997,103523,35,PC4-3200AA,2307,1080
2.47,X86_64,33,975,220346,63,PC4-2666V,2715,171
2.17,X86_64,34,791,64133,34,PC4-3200AA,2812,252
2.6,X86_64,33,778,475358,130,PC4-3200AA,3112,264
2.85,X86_64,32,691,185817,19,PC4-2666V,2682,637
3.72,X86_64,32,728,33456,5,PC4-2666V,2982,150
3.55,X86_64,33,678,25483,4,PC4-2933Y,2350,400
3.34,X86_64,33,793,8509,15,PC4-2666V,3173,325
3.23,X86_64,34,418,202760,17,PC4-3200AA,2762,154
2.61,X86_64,34,809,68006,20,PC4-2666V,2478,134
3.07,X86_64,33,896,57085,16,PC4-2666V,3091,167
2.86,X86_64,33,744,4853,8,PC4-2666V,2401,1268
2.51,X86_64,35,968,81211,12,PC4-2933Y,2486,1783
3.86,X86_64,33,669,119554,26,PC4-2933Y,2290,574
1.78,X86_64,32,977,4757,36,PC4-3200AA,2498,515
2.3,X86_64,32,877,275230,52,PC4-2933Y,3148,644
2.64,X86_64,32,755,208937,22,PC4-3200AA,3164,691
1.94,X86_64,33,931,121481,63,PC4-3200AA,2875,137
2.43,X86_64,34,779,17625,13,PC4-2666V,3122,237
1.7,X86_64,35,1024,268946,162,0,1849,1884
