cpu_clock,isa,l1_size,l2_size,l3_size,num-cpus,mem_type,mem_clock,mem_size
2.64,X86_64,32,1000,63227,46,PC4-2666V,2969,280
2.24,X86_64,32,944,111935,101,PC4-2666V,2812,798
2.57,X86_64,32,843,10848,12,PC4-2666V,2216,344
2.42,X86_64,32,997,191889,46,PC4-3200AA,2039,1273
2.56,X86_64,32,711,97219,49,PC4-3200AA,3120,733
2.18,X86_64,32,536,42915,25,PC4-2666V,2434,146
2.63,X86_64,32,770,58472,44,PC4-3200AA,2166,626
2.49,X86_64,32,952,454526,94,PC4-3200AA,2336,1587
2.62,X86_64,32,1024,115001,46,PC4-2666V,3136,1295
1.91,X86_64,32,962,53559,43,PC4-3200AA,2235,327
2.2,X86_64,32,668,112954,72,PC4-3200AA,3200,271
2.61,X86_64,32,947,20051,9,PC4-2666V,1052,968
2.62,X86_64,32,1024,257158,77,PC4-3200AA,2901,939
1.9,X86_64,32,861,217750,59,PC4-3200AA,2672,137
2.36,X86_64,32,1024,36750,32,PC4-2666V,3200,326
3.22,X86_64,32,857,24237,14,PC4-2666V,2999,121
2.7,X86_64,32,1024,27669,16,PC4-3200AA,3200,1397
1.87,X86_64,32,988,756123,98,PC4-3200AA,2907,1360
2.17,X86_64,32,977,79533,53,PC4-2666V,2642,1007
2.53,X86_64,32,946,87385,60,PC4-2666V,2319,932
2.6,X86_64,32,1024,311750,87,PC4-3200AA,1601,2051
3.26,X86_64,32,590,79188,22,PC4-3200AA,2572,304
2.18,X86_64,32,1024,140342,72,PC4-2666V,2642,744
2.15,X86_64,32,939,56234,51,PC4-2666V,2156,377
2.71,X86_64,32,543,45793,18,PC4-3200AA,2709,289
2.16,X86_64,32,768,42045,14,PC4-3200AA,2429,728
3.0,X86_64,32,1024,35431,28,PC4-2666V,2189,546
2.11,X86_64,32,1024,80190,101,PC4-2666V,2385,985
2.04,X86_64,32,614,31342,10,PC4-3200AA,2354,459
2.45,X86_64,32,1023,56951,21,PC4-2666V,2171,287
2.73,X86_64,32,626,44766,8,PC4-2666V,3160,130
2.46,X86_64,32,919,34415,18,PC4-3200AA,3200,139
2.91,X86_64,32,906,48395,11,PC4-3200AA,3056,450
2.52,X86_64,32,1024,75458,32,PC4-3200AA,3200,270
2.34,X86_64,32,1024,12140,10,PC4-2666V,2456,320
2.4,X86_64,32,1024,125039,49,PC4-3200AA,3200,435
2.21,X86_64,32,716,580807,89,PC4-3200AA,2492,1290
2.98,X86_64,32,384,18062,7,PC4-2666V,2140,42
2.89,X86_64,32,762,101297,41,PC4-2666V,2894,564
3.19,X86_64,32,785,29648,7,PC4-3200AA,2125,257
2.2,X86_64,32,693,30397,15,PC4-3200AA,2537,142
2.35,X86_64,32,1023,79697,29,PC4-3200AA,2943,679
