cpu_clock,isa,l1_size,l2_size,l3_size,num-cpus,mem_type,mem_clock,mem_size
2.42,X86_64,32,680,62117,7,PC4-2933Y,2980,348
3.53,X86_64,33,604,318595,39,0,2528,1614
2.76,X86_64,33,698,123770,26,PC4-3200AA,2708,1063
2.22,X86_64,32,715,50289,25,PC4-3200AA,2862,450
2.69,X86_64,33,688,200675,23,PC4-2933Y,2906,593
2.94,X86_64,33,620,95110,30,PC4-2666V,2929,406
1.86,X86_64,34,877,86964,18,PC4-2933Y,3005,242
2.44,X86_64,33,840,89095,37,PC4-2666V,2805,437
1.98,X86_64,32,998,23852,35,PC4-3200AA,2727,702
1.76,X86_64,32,640,150962,26,PC4-3200AA,2393,276
2.63,X86_64,33,1016,46715,30,0,1820,1525
2.27,X86_64,33,706,269090,58,PC4-2933Y,2600,1243
2.08,X86_64,33,1011,228397,42,PC4-2933V,2182,842
3.36,X86_64,33,549,207270,18,PC4-2666V,3142,190
3.06,X86_64,34,682,115665,20,0,2018,1156
3.13,X86_64,32,607,10666,4,PC4-2666V,1739,188
3.21,X86_64,33,536,28042,6,PC4-3200AA,2687,35
2.17,X86_64,33,933,80140,35,PC4-2666V,1724,378
3.04,X86_64,33,734,137276,45,PC4-2666V,1584,489
3.59,X86_64,34,580,127748,23,PC4-2666V,2671,307
2.33,X86_64,32,868,139200,51,PC4-2933Y,2840,773
2.19,X86_64,33,932,126676,40,PC4-2933V,2856,800
2.38,X86_64,32,988,98868,61,PC4-2666V,3093,964
3.46,X86_64,33,762,100294,17,PC4-3200AA,2831,599
2.41,X86_64,32,985,420081,126,PC4-2933V,2681,1994
3.39,X86_64,33,583,55656,18,PC4-2933Y,2477,434
2.41,X86_64,33,907,130435,52,PC4-2666V,2914,326
2.6,X86_64,32,867,166319,39,PC4-2933Y,2754,850
2.84,X86_64,32,599,181950,35,PC4-2666V,3184,311
3.13,X86_64,33,870,302724,87,PC4-2933V,2578,1137
2.56,X86_64,34,689,109715,24,PC4-2666V,1893,163
3.86,X86_64,33,634,45427,7,PC4-2933V,1183,177
3.11,X86_64,32,890,254189,62,PC4-2666V,3073,768
3.08,X86_64,32,703,71093,8,PC4-3200AA,3099,379
3.32,X86_64,32,795,146672,44,PC4-2933V,2768,1128
3.21,X86_64,35,650,41955,3,PC4-2666V,2507,131
1.78,X86_64,34,980,27865,14,PC4-2933V,1269,322
2.63,X86_64,33,780,320948,65,PC4-3200AA,2984,638
1.99,X86_64,33,966,81974,57,PC4-3200AA,2408,95
2.21,X86_64,35,804,48105,23,PC4-2666V,3157,40
3.24,X86_64,33,750,394966,71,PC4-2933V,2996,1732
2.95,X86_64,32,823,46222,12,PC4-3200AA,3143,99
