cpu_clock,isa,l1_size,l2_size,l3_size,num-cpus,mem_type,mem_clock,mem_size
2.4,X86_64,32,512,61440,6,PC4-2933Y,2933,320
3.5,X86_64,32,512,311296,40,0,2400,1536
2.75,X86_64,32,512,122880,24,PC4-3200AA,2666,1024
2.2,X86_64,32,512,49152,24,PC4-3200AA,2933,512
2.7,X86_64,32,512,196608,24,PC4-2933Y,2933,512
2.95,X86_64,32,512,98304,28,PC4-2666V,2933,384
1.9,X86_64,32,1024,86016,18,PC4-2933Y,2933,256
2.45,X86_64,32,1024,90112,36,PC4-2666V,2933,384
2.0,X86_64,32,1024,24576,36,PC4-3200AA,2666,768
1.8,X86_64,32,512,155648,24,PC4-3200AA,2400,256
2.65,X86_64,32,1024,45056,28,0,2400,1536
2.25,X86_64,32,512,262144,56,PC4-2933Y,2666,1024
2.1,X86_64,32,1024,233472,40,PC4-2933V,2400,768
3.4,X86_64,32,512,196608,18,PC4-2666V,3200,192
3.1,X86_64,32,512,116736,20,0,2400,1024
3.1,X86_64,32,512,12288,4,PC4-2666V,2400,192
3.2,X86_64,32,512,27648,6,PC4-3200AA,2666,32
2.2,X86_64,32,1024,79872,36,PC4-2666V,2400,384
3.0,X86_64,32,512,135168,44,PC4-2666V,2400,512
3.6,X86_64,32,512,131072,24,PC4-2666V,2666,320
2.35,X86_64,32,1024,135168,52,PC4-2933Y,2933,768
2.2,X86_64,32,1024,122880,40,PC4-2933V,2933,768
2.4,X86_64,32,1024,98304,64,PC4-2666V,3200,1024
3.5,X86_64,32,512,98304,16,PC4-3200AA,2933,512
2.4,X86_64,32,1024,393216,128,PC4-2933V,2666,2048
3.4,X86_64,32,512,55296,18,PC4-2933Y,2400,384
2.4,X86_64,32,1024,131072,52,PC4-2666V,2933,320
2.6,X86_64,32,1024,155648,40,PC4-2933Y,2666,768
2.85,X86_64,32,512,196608,36,PC4-2666V,3200,320
3.1,X86_64,32,1024,311296,88,PC4-2933V,2666,1024
2.6,X86_64,32,512,110592,24,PC4-2666V,2400,176
3.9,X86_64,32,512,45056,6,PC4-2933V,0,176
3.1,X86_64,32,1024,262144,64,PC4-2666V,3200,768
3.1,X86_64,32,512,71680,8,PC4-3200AA,3200,384
3.3,X86_64,32,1024,143360,44,PC4-2933V,2666,1024
3.2,X86_64,32,512,43008,4,PC4-2666V,2400,128
1.8,X86_64,32,1024,27648,16,PC4-2933V,2400,320
2.65,X86_64,32,1024,311296,64,PC4-3200AA,2933,512
2.0,X86_64,32,1024,79872,56,PC4-3200AA,2400,96
2.2,X86_64,32,1024,49152,24,PC4-2666V,3200,32
3.2,X86_64,32,512,393216,72,PC4-2933V,2933,1536
2.95,X86_64,32,1024,45056,12,PC4-3200AA,3200,96
2.6,X86_64,32,512,45056,18,PC4-2933V,2400,176
3.0,X86_64,32,1024,55296,36,PC4-2666V,2666,128
2.5,X86_64,32,1024,131072,64,PC4-2933V,2666,768
2.85,X86_64,32,256,262144,32,PC4-2666V,2933,256
1.9,X86_64,32,1024,53248,24,0,0,768
1.9,X86_64,32,1024,196608,96,PC4-2666V,2666,1024
2.4,X86_64,32,512,155648,44,PC4-3200AA,3200,512
2.9,X86_64,32,1024,12288,8,PC4-2400T,2666,256
1.9,X86_64,32,1024,393216,80,PC4-2933V,2933,768
2.2,X86_64,32,1024,8192,4,PC4-3200AA,0,320
2.5,X86_64,32,512,233472,20,PC4-3200AA,2933,320
3.1,X86_64,32,512,39936,28,PC4-3200AA,2400,1024
2.85,X86_64,32,1024,45056,28,PC4-2666V,2666,128
3.3,X86_64,32,512,196608,56,PC4-2933Y,2666,1024
2.2,X86_64,32,512,155648,32,PC4-3200AA,2400,384
2.9,X86_64,32,512,196608,16,PC4-2666V,3200,320
2.25,X86_64,32,1024,112640,24,PC4-2933V,2400,256
1.9,X86_64,32,1024,155648,64,PC4-3200AA,2933,512
3.0,X86_64,32,1024,262144,48,PC4-2933V,2400,256
1.9,X86_64,32,1024,311296,72,PC4-2933V,3200,768
2.3,X86_64,32,1024,155648,32,PC4-2933V,2400,768
2.95,X86_64,32,1024,311296,76,PC4-2933Y,2666,2304
2.65,X86_64,32,512,53248,4,PC4-2666V,2666,96
3.4,X86_64,32,512,4096,4,PC4-2666V,2400,512
2.75,X86_64,32,1024,65536,20,PC4-3200AA,2666,320
2.75,X86_64,32,1024,155648,48,PC4-3200AA,3200,1024
2.95,X86_64,32,1024,90112,56,PC4-3200AA,2400,1024
2.5,X86_64,32,1024,55296,56,PC4-3200AA,2400,768
2.35,X86_64,32,1024,61440,44,PC4-2933Y,2933,768
1.7,X86_64,32,1024,262144,96,PC4-2666V,2400,768
1.8,X86_64,32,1024,98304,52,PC4-2666V,3200,320
1.9,X86_64,32,1024,98304,64,PC4-2933Y,2400,768
2.0,X86_64,32,1024,12288,20,PC4-2933Y,0,768
2.1,X86_64,32,512,233472,52,PC4-3200AA,2666,1536
3.4,X86_64,32,512,262144,32,PC4-2933Y,3200,512
2.1,X86_64,32,512,131072,36,PC4-2666V,2933,64
2.8,X86_64,32,1024,233472,64,PC4-2933Y,2400,2048
2.1,X86_64,32,512,90112,24,PC4-2666V,2933,32
2.0,X86_64,32,1024,73728,20,PC4-3200AA,2400,768
3.0,X86_64,32,512,196608,64,PC4-2933V,2933,1024
1.7,X86_64,32,1024,311296,112,PC4-3200AA,3200,1024
2.7,X86_64,32,512,393216,96,PC4-3200AA,2933,1024
2.1,X86_64,32,512,393216,112,PC4-2666V,3200,768
2.1,X86_64,32,512,67584,16,PC4-3200AA,2666,768
2.45,X86_64,32,512,233472,80,PC4-2933V,2666,1536
1.9,X86_64,32,1024,30720,24,PC4-3200AA,2400,192
3.4,X86_64,32,512,90112,16,PC4-3200AA,2400,384
2.95,X86_64,32,512,196608,28,PC4-3200AA,2933,192
2.1,X86_64,32,512,32768,6,PC4-2666V,3200,96
2.2,X86_64,32,1024,311296,52,PC4-2666V,3200,96
1.8,X86_64,32,1024,393216,80,PC4-3200AA,3200,1536
1.9,X86_64,32,1024,8192,12,PC4-3200AA,2400,512
2.0,X86_64,32,1024,155648,80,PC4-2666V,3200,1024
2.7,X86_64,32,512,8192,4,PC4-3200AA,2400,256
3.7,X86_64,32,1024,61440,8,PC4-2666V,2933,320
2.25,X86_64,32,1024,196608,88,PC4-2933Y,2933,1024
3.1,X86_64,32,512,393216,76,PC4-2933Y,2400,512
2.6,X86_64,32,1024,45056,6,PC4-2933V,2666,512
