cpu_clock,isa,l1_size,l2_size,l3_size,num-cpus,mem_type,mem_clock,mem_size
3.2,X86_64,32,512,4096,6,PC4-2666V,2400,384
2.0,X86_64,32,512,155648,32,PC4-2933V,2400,768
2.6,X86_64,32,1024,116736,32,PC4-2933Y,0,512
2.4,X86_64,32,256,262144,72,PC4-2666V,2933,512
2.3,X86_64,32,1024,67584,44,PC4-2933Y,2666,1024
2.35,X86_64,32,512,393216,96,PC4-3200AA,2400,512
2.7,X86_64,32,1024,39936,52,PC4-2666V,2400,768
3.1,X86_64,32,512,49152,12,PC4-2666V,2666,256
2.25,X86_64,32,512,524288,112,PC4-2666V,2933,2048
3.6,X86_64,32,512,98304,4,PC4-3200AA,2666,768
2.9,X86_64,32,512,196608,24,PC4-3200AA,2400,128
2.8,X86_64,32,1024,155648,32,PC4-2933Y,2400,192
1.9,X86_64,32,1024,71680,36,PC4-3200AA,2400,512
2.6,X86_64,32,1024,155648,56,0,2666,512
2.7,X86_64,32,1024,155648,48,PC4-2666V,2400,256
2.7,X86_64,32,1024,43008,36,PC4-3200AA,2933,512
2.1,X86_64,32,1024,86016,28,PC4-2933Y,2933,320
2.3,X86_64,32,1024,311296,104,PC4-2666V,3200,768
2.85,X86_64,32,1024,77824,32,PC4-2666V,3200,320
2.1,X86_64,32,1024,311296,40,PC4-3200AA,2666,1536
3.3,X86_64,32,1024,55296,8,PC4-3200AA,2666,128
2.6,X86_64,32,1024,262144,80,PC4-3200AA,2400,1024
3.0,X86_64,32,512,61440,28,PC4-3200AA,2933,256
2.2,X86_64,32,1024,55296,20,PC4-2933Y,2933,176
3.1,X86_64,32,512,65536,6,PC4-2666V,2933,32
2.0,X86_64,32,1024,233472,56,PC4-2933Y,2400,1024
2.35,X86_64,32,1024,79872,40,PC4-3200AA,2400,768
3.2,X86_64,32,512,393216,64,PC4-3200AA,2933,384
1.9,X86_64,32,1024,393216,104,PC4-2666V,2933,1536
3.7,X86_64,32,1024,77824,8,PC4-3200AA,2400,512
3.0,X86_64,32,1024,196608,80,PC4-2933Y,3200,1536
1.7,X86_64,32,1024,131072,104,0,2666,512
3.7,X86_64,32,1024,233472,20,PC4-2933V,3200,768
2.4,X86_64,32,1024,122880,28,PC4-3200AA,3200,176
2.7,X86_64,32,1024,233472,80,PC4-2666V,3200,1536
2.45,X86_64,32,512,196608,64,PC4-2666V,2666,96
2.7,X86_64,32,512,311296,52,PC4-2666V,2400,768
2.0,X86_64,32,1024,155648,80,PC4-3200AA,3200,384
3.5,X86_64,32,1024,196608,44,PC4-3200AA,2666,1536
3.1,X86_64,32,512,393216,56,PC4-3200AA,2666,2048
1.9,X86_64,32,1024,22528,12,0,2666,320
2.75,X86_64,32,512,262144,24,0,2666,320
2.4,X86_64,32,1024,71680,28,PC4-2666V,2666,128
3.1,X86_64,32,512,110592,18,PC4-2933V,2400,128
2.35,X86_64,32,1024,196608,44,PC4-3200AA,2933,768
2.35,X86_64,32,1024,49152,36,PC4-3200AA,2933,128
1.9,X86_64,32,1024,71680,96,PC4-2666V,2400,1024
2.4,X86_64,32,512,524288,80,PC4-3200AA,2933,1536
3.0,X86_64,32,512,55296,16,PC4-2666V,2666,384
2.35,X86_64,32,1024,65536,32,PC4-2666V,2933,64
2.7,X86_64,32,1024,196608,28,PC4-2666V,2400,1024
2.2,X86_64,32,1024,311296,64,PC4-3200AA,3200,512
3.2,X86_64,32,1024,233472,88,PC4-2933V,3200,1024
1.9,X86_64,32,1024,116736,112,PC4-2666V,2400,768
3.2,X86_64,32,1024,43008,12,PC4-3200AA,2400,384
2.3,X86_64,32,1024,262144,80,PC4-2400T,2933,768
2.5,X86_64,32,1024,155648,40,PC4-2666V,3200,512
3.6,X86_64,32,512,155648,4,PC4-3200AA,2933,320
2.0,X86_64,32,512,311296,44,PC4-3200AA,3200,1024
3.9,X86_64,32,512,98304,6,0,2933,1536
2.1,X86_64,32,1024,262144,64,PC4-2933Y,2400,768
2.3,X86_64,32,1024,49152,32,PC4-2666V,2400,512
1.8,X86_64,32,1024,233472,64,PC4-2933V,2933,768
2.1,X86_64,32,1024,524288,128,PC4-2933Y,3200,2048
2.2,X86_64,32,512,77824,4,PC4-3200AA,2400,768
2.0,X86_64,32,1024,98304,64,PC4-2933Y,2400,1024
3.2,X86_64,32,512,18432,4,PC4-2666V,2933,512
2.9,X86_64,32,1024,122880,56,PC4-2933V,2666,1024
3.3,X86_64,32,512,196608,52,PC4-2933Y,2666,768
2.6,X86_64,32,512,53248,8,PC4-3200AA,2400,96
2.25,X86_64,32,1024,122880,32,PC4-2666V,2400,512
2.0,X86_64,32,1024,27648,72,PC4-2933V,2933,768
3.0,X86_64,32,1024,30720,24,PC4-2666V,2933,128
1.7,X86_64,32,1024,196608,112,PC4-2666V,2933,1024
2.75,X86_64,32,1024,143360,36,PC4-2666V,2933,1024
2.25,X86_64,32,1024,233472,80,PC4-3200AA,2666,1024
2.45,X86_64,32,512,43008,20,PC4-2666V,2400,32
1.9,X86_64,32,1024,196608,76,PC4-2666V,2400,1024
2.85,X86_64,32,512,15360,6,PC4-2666V,2933,320
2.8,X86_64,32,512,196608,44,PC4-3200AA,2933,192
2.1,X86_64,32,1024,98304,36,PC4-3200AA,2400,1024
2.45,X86_64,32,1024,233472,64,PC4-2666V,2666,176
2.2,X86_64,32,1024,65536,36,PC4-3200AA,2933,256
2.6,X86_64,32,1024,524288,128,PC4-3200AA,3200,256
2.85,X86_64,32,512,196608,20,PC4-2666V,2666,512
3.7,X86_64,32,512,32768,6,PC4-2666V,2933,128
3.5,X86_64,32,512,24576,4,PC4-2933Y,2400,384
3.3,X86_64,32,1024,8192,16,PC4-2666V,3200,320
3.2,X86_64,32,512,196608,16,PC4-3200AA,2666,176
2.6,X86_64,32,1024,67584,20,PC4-2666V,2400,128
3.1,X86_64,32,1024,55296,16,PC4-2666V,3200,176
2.85,X86_64,32,512,4096,8,PC4-2666V,2400,1024
2.5,X86_64,32,1024,79872,12,PC4-2933Y,2400,1536
3.9,X86_64,32,512,116736,24,PC4-2933Y,2400,512
1.8,X86_64,32,1024,4096,36,PC4-3200AA,2400,512
2.3,X86_64,32,1024,262144,52,PC4-2933Y,3200,768
