cpu_clock,isa,l1_size,l2_size,l3_size,num-cpus,mem_type,mem_clock,mem_size
2.65,X86_64,32,1024,61440,44,PC4-2666V,2933,256
2.25,X86_64,32,1024,112640,104,PC4-2666V,2933,768
2.6,X86_64,32,1024,12288,12,PC4-2666V,2400,320
2.4,X86_64,32,1024,196608,44,PC4-3200AA,2400,1024
2.6,X86_64,32,512,98304,48,PC4-3200AA,3200,768
2.2,X86_64,32,512,43008,24,PC4-2666V,2400,128
2.65,X86_64,32,1024,61440,44,PC4-3200AA,2400,512
2.5,X86_64,32,1024,393216,96,PC4-3200AA,2400,1536
2.6,X86_64,32,1024,116736,44,PC4-2666V,3200,1536
1.9,X86_64,32,1024,53248,44,PC4-3200AA,2400,320
2.2,X86_64,32,512,112640,72,PC4-3200AA,3200,256
2.6,X86_64,32,1024,18432,8,PC4-2666V,0,1024
2.6,X86_64,32,1024,262144,76,PC4-3200AA,2933,1024
1.9,X86_64,32,1024,233472,56,PC4-3200AA,2666,128
2.35,X86_64,32,1024,36864,32,PC4-2666V,3200,320
3.2,X86_64,32,1024,24576,16,PC4-2666V,2933,128
2.7,X86_64,32,1024,27648,16,PC4-3200AA,3200,1536
1.9,X86_64,32,1024,983040,96,PC4-3200AA,2933,1536
2.2,X86_64,32,1024,79872,52,PC4-2666V,2666,1024
2.5,X86_64,32,1024,86016,56,PC4-2666V,2400,1024
2.6,X86_64,32,1024,311296,88,PC4-3200AA,2400,2048
3.3,X86_64,32,512,79872,24,PC4-3200AA,2666,320
2.2,X86_64,32,1024,143360,72,PC4-2666V,2666,768
2.1,X86_64,32,1024,55296,52,PC4-2666V,2400,384
2.7,X86_64,32,512,45056,18,PC4-3200AA,2666,320
2.2,X86_64,32,1024,43008,16,PC4-3200AA,2400,768
3.0,X86_64,32,1024,35840,28,PC4-2666V,2400,512
2.1,X86_64,32,1024,79872,104,PC4-2666V,2400,1024
2.0,X86_64,32,512,30720,10,PC4-3200AA,2400,512
2.45,X86_64,32,1024,55296,20,PC4-2666V,2400,256
2.75,X86_64,32,512,45056,8,PC4-2666V,3200,128
2.45,X86_64,32,1024,35840,18,PC4-3200AA,3200,128
2.9,X86_64,32,1024,49152,12,PC4-3200AA,2933,512
2.5,X86_64,32,1024,73728,32,PC4-3200AA,3200,256
2.35,X86_64,32,1024,12288,10,PC4-2666V,2400,320
2.4,X86_64,32,1024,122880,48,PC4-3200AA,3200,384
2.2,X86_64,32,512,524288,88,PC4-3200AA,2400,1536
3.0,X86_64,32,256,18432,6,PC4-2666V,2400,32
2.9,X86_64,32,512,98304,40,PC4-2666V,2933,512
3.2,X86_64,32,1024,30720,6,PC4-3200AA,2400,256
2.2,X86_64,32,512,30720,16,PC4-3200AA,2666,128
2.35,X86_64,32,1024,79872,28,PC4-3200AA,2933,768
2.25,X86_64,32,512,67584,40,PC4-2666V,2666,512
2.65,X86_64,32,1024,233472,64,PC4-3200AA,3200,1536
2.4,X86_64,32,1024,73728,24,PC4-2666V,2400,1536
4.0,X86_64,32,512,27648,6,PC4-2666V,3200,512
3.2,X86_64,32,512,55296,12,PC4-2666V,2400,384
3.0,X86_64,32,1024,61440,44,PC4-3200AA,3200,512
2.3,X86_64,32,1024,55296,40,PC4-2666V,3200,768
2.2,X86_64,32,1024,98304,52,PC4-3200AA,2400,1536
2.35,X86_64,32,1024,22528,32,PC4-2666V,2400,384
2.0,X86_64,32,1024,311296,88,PC4-3200AA,2933,1536
2.6,X86_64,32,1024,15360,28,PC4-2666V,2666,768
2.65,X86_64,32,1024,196608,80,PC4-3200AA,3200,384
1.8,X86_64,32,1024,196608,128,PC4-2666V,3200,1024
2.7,X86_64,32,1024,49152,12,PC4-2666V,2400,768
2.6,X86_64,32,512,90112,48,PC4-2666V,3200,192
4.0,X86_64,32,512,24576,4,PC4-2666V,2666,192
3.2,X86_64,32,1024,30720,20,PC4-2666V,2933,192
2.35,X86_64,32,1024,143360,52,PC4-3200AA,3200,768
2.45,X86_64,32,512,61440,36,PC4-3200AA,2666,320
2.35,X86_64,32,1024,53248,48,PC4-2666V,2400,384
2.5,X86_64,32,1024,98304,56,PC4-2666V,2400,768
2.5,X86_64,32,1024,49152,20,PC4-2666V,2400,256
3.3,X86_64,32,1024,393216,76,PC4-3200AA,2933,2304
4.0,X86_64,32,1024,79872,16,PC4-3200AA,3200,320
3.2,X86_64,32,512,79872,20,PC4-3200AA,3200,384
2.0,X86_64,32,1024,90112,96,PC4-3200AA,3200,768
3.5,X86_64,32,256,311296,24,PC4-3200AA,3200,512
2.5,X86_64,32,1024,262144,80,PC4-3200AA,2400,1024
1.8,X86_64,32,1024,67584,56,PC4-2666V,0,768
3.4,X86_64,32,1024,8192,16,PC4-2666V,3200,320
2.85,X86_64,32,512,79872,24,PC4-2666V,2400,176
2.3,X86_64,32,1024,53248,32,PC4-3200AA,2933,512
2.25,X86_64,32,1024,311296,104,PC4-3200AA,3200,1024
3.7,X86_64,32,1024,71680,24,PC4-2666V,2666,512
4.0,X86_64,32,512,53248,16,PC4-2666V,2400,512
2.7,X86_64,32,1024,36864,16,PC4-2666V,2400,384
2.45,X86_64,32,512,18432,12,PC4-2666V,3200,128
4.0,X86_64,32,512,43008,16,PC4-3200AA,3200,176
2.25,X86_64,32,1024,38912,24,PC4-2666V,3200,768
2.35,X86_64,32,1024,24576,24,PC4-2666V,2666,512
2.35,X86_64,32,1024,49152,32,PC4-3200AA,3200,768
2.85,X86_64,32,512,86016,28,PC4-3200AA,2400,768
3.9,X86_64,32,512,30720,8,PC4-2666V,2666,512
2.2,X86_64,32,1024,71680,48,PC4-2666V,2400,1024
2.4,X86_64,32,512,155648,44,PC4-3200AA,3200,768
2.5,X86_64,32,512,45056,24,PC4-2666V,2400,64
2.95,X86_64,32,1024,26624,36,PC4-2666V,2933,768
2.5,X86_64,32,1024,983040,88,PC4-3200AA,2666,2304
2.95,X86_64,32,512,311296,48,PC4-2666V,2400,512
2.35,X86_64,32,1024,79872,18,PC4-3200AA,2933,768
2.6,X86_64,32,512,79872,24,PC4-2666V,2400,512
2.6,X86_64,32,1024,18432,6,PC4-2666V,3200,512
2.1,X86_64,32,1024,86016,80,PC4-2666V,2400,768
2.75,X86_64,32,1024,12288,4,PC4-3200AA,2666,320
1.9,X86_64,32,1024,77824,48,PC4-3200AA,3200,1024
2.5,X86_64,32,512,36864,8,PC4-2666V,2666,384
3.3,X86_64,32,512,155648,48,PC4-3200AA,2400,1536
2.6,X86_64,32,512,196608,48,PC4-2666V,3200,384
