cpu_clock,isa,l1_size,l2_size,l3_size,num-cpus,mem_type,mem_clock,mem_size
3.1,X86_64,32,1024,73728,32,PC4-3200AA,3200,512
2.5,X86_64,32,1024,155648,112,PC4-2933Y,2933,384
2.1,X86_64,32,1024,22528,16,PC4-2666V,2666,384
2.8,X86_64,32,1024,22528,16,PC4-2933V,2933,384
2.0,X86_64,32,512,524288,128,PC4-3200AA,3200,512
2.1,X86_64,32,1024,71680,52,PC4-2666V,2666,384
3.2,X86_64,32,512,32768,8,0,0,2048
2.1,X86_64,32,1024,55296,40,PC4-2933V,2933,768
2.9,X86_64,32,512,98304,48,PC4-3200AA,3200,1024
2.8,X86_64,32,512,262144,32,PC4-3200AA,3200,1024
2.5,X86_64,32,1024,26624,20,PC4-2933V,2933,768
3.2,X86_64,32,1024,49152,16,PC4-2666V,2666,192
2.7,X86_64,32,1024,77824,56,PC4-2933Y,2933,768
3.2,X86_64,32,1024,49152,16,PC4-2666V,2666,384
2.4,X86_64,32,1024,32768,24,PC4-2666V,2666,192
2.1,X86_64,32,1024,55296,40,PC4-2933Y,2933,768
2.4,X86_64,32,1024,26624,20,PC4-2933V,2933,768
2.9,X86_64,32,1024,155648,32,PC4-2933Y,2933,384
3.3,X86_64,32,256,12288,6,PC4-2666V,2666,64
3.2,X86_64,32,512,131072,24,PC4-3200AA,3200,512
2.9,X86_64,32,1024,45056,32,PC4-2666V,2666,768
3.2,X86_64,32,1024,49152,16,PC4-2666V,2666,192
2.5,X86_64,32,1024,55296,40,PC4-2933V,2933,768
2.45,X86_64,32,512,262144,64,PC4-3200AA,3200,256
3.6,X86_64,32,1024,32768,16,PC4-2666V,2666,384
2.5,X86_64,32,1024,77824,56,PC4-2666V,2666,384
3.4,X86_64,32,256,8192,4,PC4-2666V,2666,64
2.5,X86_64,32,1024,155648,112,PC4-2666V,2666,384
3.4,X86_64,32,1024,71680,32,PC4-2933V,2933,768
2.3,X86_64,32,1024,71680,48,PC4-2933Y,2933,384
3.4,X86_64,32,256,12288,12,PC4-2666V,2666,64
2.3,X86_64,32,1024,30720,20,PC4-3200AA,3200,2048
2.1,X86_64,32,1024,73728,48,PC4-3200AA,3200,512
2.6,X86_64,32,1024,98304,64,PC4-3200AA,3200,2048
2.4,X86_64,32,1024,49152,32,PC4-3200AA,3200,512
2.7,X86_64,32,1024,155648,112,PC4-2933Y,2933,1536
2.1,X86_64,32,1024,71680,52,PC4-2933V,2933,768
2.1,X86_64,32,1024,73728,48,PC4-3200AA,3200,512
3.4,X86_64,32,256,12288,6,PC4-2666V,2666,64
2.1,X86_64,32,1024,77824,56,PC4-2666V,2666,768
3.2,X86_64,32,512,131072,8,PC4-3200AA,3200,32
3.2,X86_64,32,1024,98304,32,PC4-2666V,2666,768
2.4,X86_64,32,1024,71680,48,PC4-2933V,2933,384
2.1,X86_64,32,1024,61440,72,PC4-2933V,2933,1536
2.0,X86_64,32,1024,98304,64,PC4-3200AA,3200,512
3.5,X86_64,32,512,8192,4,PC4-3200AA,3200,64
3.6,X86_64,32,1024,32768,8,PC4-2666V,2666,768
2.1,X86_64,32,1024,67584,48,PC4-2666V,2666,192
2.9,X86_64,32,1024,143360,96,PC4-2933Y,2933,384
2.4,X86_64,32,1024,26624,20,PC4-2933V,2933,768
2.1,X86_64,32,1024,77824,56,PC4-2666V,2666,384
2.3,X86_64,32,1024,32768,24,PC4-2666V,2666,384
2.2,X86_64,32,1024,98304,64,PC4-3200AA,3200,512
2.7,X86_64,32,1024,155648,112,PC4-2933V,2933,768
2.8,X86_64,32,1024,24576,16,PC4-3200AA,3200,512
2.3,X86_64,32,1024,49152,36,PC4-2666V,2666,192
3.6,X86_64,32,512,262144,6,PC4-3200AA,3200,2048
2.3,X86_64,32,1024,30720,20,PC4-3200AA,3200,1024
2.5,X86_64,32,1024,55296,40,PC4-2933V,2933,768
