cpu_clock,isa,l1_size,l2_size,l3_size,num-cpus,mem_type,mem_clock,mem_size
1.9870326519012451,X86_64,32,512,983040,8,PC4-3200AA,0,3072
2.289390802383423,X86_64,64,512,36864,80,PC4-2400T,3200,128
2.7703680992126465,X86_64,32,256,12288,80,PC4-2400T,2400,2048
2.136209726333618,X86_64,64,256,262144,52,PC4-3200AA,0,192
2.3377065658569336,X86_64,32,256,18432,88,0,3200,512
2.5728378295898438,X86_64,32,256,49152,6,PC4-2400T,2933,320
2.151581287384033,X86_64,32,256,8192,6,0,3200,384
2.286349058151245,X86_64,32,1024,4096,16,PC4-2666V,2666,32
2.150759220123291,X86_64,64,512,30720,2,PC4-3200AA,0,176
1.9763834476470947,X86_64,64,1024,116736,44,PC4-2400T,2400,32
2.395972967147827,X86_64,32,256,233472,28,PC4-2666V,2933,1536
3.21549129486084,X86_64,32,512,143360,20,0,2933,3072
2.2767553329467773,X86_64,64,512,65536,52,0,2400,768
2.1550464630126953,X86_64,32,512,61440,2,PC4-2933V,0,512
2.5636119842529297,X86_64,64,1024,30720,2,PC4-3200AA,2400,512
2.3931641578674316,X86_64,32,256,143360,40,0,0,768
1.6673871278762817,X86_64,64,512,39936,384,PC4-3200AA,0,192
2.373163938522339,X86_64,64,512,112640,36,0,2933,256
2.20369553565979,X86_64,64,1024,67584,24,PC4-2400T,2666,1536
2.4504363536834717,X86_64,64,1024,4096,72,PC4-2933V,2400,1024
2.620448589324951,X86_64,64,512,30720,32,PC4-2400T,3200,2304
2.3549389839172363,X86_64,64,512,36864,112,PC4-2666V,3200,4096
2.307765245437622,X86_64,32,512,65536,6,0,0,1024
2.1215715408325195,X86_64,32,1024,32768,8,PC4-2400T,2400,176
2.228198289871216,X86_64,64,256,18432,10,PC4-3200AA,3200,2304
2.309542417526245,X86_64,64,1024,393216,40,0,2666,2048
2.333699941635132,X86_64,32,1024,77824,36,PC4-2400T,2666,1536
2.2975940704345703,X86_64,64,256,77824,56,PC4-3200AA,0,768
2.61222505569458,X86_64,32,512,67584,4,PC4-2933V,0,2048
2.3352129459381104,X86_64,64,1024,8192,28,PC4-3200AA,2666,64
2.202420473098755,X86_64,32,256,22528,28,0,2400,3072
2.495704174041748,X86_64,32,1024,90112,28,PC4-3200AA,0,96
