,cpu_clock,isa,l1_size,l2_size,l3_size,num-cpus,mem_type,mem_clock,mem_size
0,2.38,X86_64,32,1020,74338,79,PC4-3200AA,3200,154
1,2.05,X86_64,32,1024,46722,37,0,3156,290
2,1.92,X86_64,32,1022,40899,61,PC4-3200AA,2870,138
3,3.42,X86_64,32,1024,53085,47,PC4-2666V,2646,751
4,3.01,X86_64,32,273,23537,17,PC4-2666V,2652,223
5,1.7,X86_64,32,1020,9006,52,PC4-2666V,2646,49
6,2.07,X86_64,32,1020,115309,31,PC4-3200AA,3168,91
7,1.7,X86_64,32,1024,34731,132,PC4-2933V,2925,427
8,2.12,X86_64,32,1024,43571,133,PC4-2933V,2896,760
9,2.13,X86_64,32,1024,115142,32,PC4-2933V,2880,311
10,2.0,X86_64,32,499,2048,38,PC4-3200AA,3135,2106
11,2.08,X86_64,32,1024,72731,59,PC4-3200AA,2681,186
12,2.19,X86_64,32,523,2048,28,PC4-2666V,2671,181
13,3.46,X86_64,32,256,111476,36,PC4-2933Y,2594,357
14,3.01,X86_64,32,1024,86582,59,PC4-2933V,2913,380
15,1.8,X86_64,32,1024,37964,105,0,3184,723
16,2.44,X86_64,32,1024,242123,17,PC4-3200AA,2653,376
17,1.7,X86_64,32,256,89363,51,PC4-3200AA,2937,790
18,2.04,X86_64,32,1024,75435,49,PC4-2400T,3200,256
19,1.99,X86_64,32,1016,2048,28,PC4-2666V,2670,789
20,2.72,X86_64,32,1023,2048,54,PC4-2666V,2663,98
21,2.21,X86_64,32,1021,2048,2,PC4-2666V,2660,48
22,1.75,X86_64,32,1018,101013,37,PC4-2400T,2648,811
23,2.02,X86_64,32,1024,34845,25,PC4-2666V,2670,2239
24,2.32,X86_64,32,472,40414,35,PC4-2666V,2634,1600
25,2.58,X86_64,32,1013,125081,50,PC4-2933Y,2603,1124
26,1.87,X86_64,32,1021,161053,93,PC4-2666V,2653,89
27,1.94,X86_64,32,1024,29174,4,PC4-2666V,2965,471
