,cpu_clock,l2_size,l3_size,num-cpus,mem_clock,mem_size
0,2.672224,846.0,134442.0,47.0,3069.0,461.0
1,3.1414177,706.0,70586.0,27.0,3198.0,376.0
2,3.9941266,256.0,2060.0,2.0,3200.0,32.0
3,3.959876,256.0,2770.0,2.0,3200.0,32.0
4,2.9641614,1023.0,171874.0,44.0,4.0,1050.0
5,3.2019606,576.0,22140.0,16.0,3199.0,381.0
6,2.5023203,584.0,367286.0,91.0,3149.0,1276.0
7,2.336536,1003.0,84662.0,63.0,2762.0,676.0
8,1.9945669,1021.0,52305.0,29.0,2679.0,257.0
9,2.3426464,680.0,309311.0,114.0,3081.0,1370.0
10,3.999246,256.0,2049.0,2.0,3200.0,32.0
11,3.877254,270.0,26265.0,6.0,3200.0,94.0
12,2.9823508,786.0,50783.0,11.0,3168.0,677.0
13,2.1305819,1020.0,65364.0,78.0,3151.0,1228.0
14,3.0465624,1022.0,65340.0,31.0,2833.0,489.0
15,2.684108,278.0,463942.0,46.0,3186.0,552.0
16,2.0123568,1000.0,79683.0,97.0,3178.0,2144.0
17,3.0817945,545.0,58399.0,16.0,3196.0,131.0
18,2.1969812,1021.0,45373.0,64.0,3008.0,1552.0
19,2.4267597,1017.0,97270.0,72.0,2957.0,1226.0
20,2.9183977,1023.0,72794.0,38.0,304.0,850.0
21,2.128399,1017.0,57460.0,66.0,2974.0,498.0
22,3.2002704,380.0,7905.0,3.0,3200.0,57.0
23,2.00979,976.0,121561.0,61.0,2764.0,438.0
24,3.0525246,690.0,152166.0,29.0,3197.0,320.0
25,2.055973,1022.0,77668.0,58.0,2431.0,309.0
26,2.81509,1023.0,22169.0,26.0,2842.0,1145.0
27,2.1677856,997.0,63568.0,38.0,500.0,705.0
28,2.1699924,1019.0,59961.0,56.0,2675.0,457.0
29,2.2294316,1024.0,47995.0,57.0,2983.0,792.0
30,2.6720114,402.0,387486.0,78.0,3186.0,1073.0
31,1.7861496,1011.0,23159.0,28.0,3151.0,347.0
32,2.0607605,1013.0,89892.0,85.0,3007.0,697.0
33,3.575649,385.0,5284.0,4.0,97.0,73.0
34,2.9698775,1023.0,50439.0,20.0,2986.0,641.0
35,2.0136535,1018.0,45455.0,50.0,2644.0,496.0
36,2.4306614,1021.0,41189.0,31.0,2567.0,393.0
37,2.7412488,1021.0,62314.0,34.0,2668.0,426.0
38,2.7439508,1023.0,57756.0,19.0,2807.0,246.0
39,2.4058666,985.0,140981.0,80.0,3183.0,1476.0
40,2.4665005,1017.0,77596.0,57.0,3015.0,1190.0
41,2.822947,1022.0,76251.0,36.0,2928.0,908.0
42,1.8751235,1017.0,46533.0,39.0,2487.0,199.0
43,2.193164,1012.0,70275.0,64.0,2932.0,1253.0
44,2.299542,1017.0,41802.0,50.0,2866.0,740.0
45,2.489358,1022.0,52998.0,36.0,2758.0,328.0
46,2.3743663,1024.0,8439.0,34.0,2721.0,377.0
47,3.4263835,514.0,51035.0,12.0,3200.0,253.0
48,3.2984657,1023.0,51219.0,22.0,2888.0,215.0
49,2.5119529,1009.0,42249.0,60.0,3183.0,1681.0
50,2.3038335,1022.0,77633.0,23.0,2644.0,202.0
51,2.0172296,979.0,146000.0,76.0,3088.0,546.0
52,2.2689931,623.0,341558.0,118.0,3078.0,1385.0
53,2.5380015,1021.0,54790.0,72.0,2399.0,1626.0
54,2.019547,1023.0,10312.0,19.0,2829.0,419.0
55,2.7195864,1022.0,53298.0,39.0,2933.0,658.0
56,2.3307753,1011.0,82286.0,52.0,2969.0,961.0
57,3.2198756,1022.0,82071.0,28.0,2671.0,237.0
58,2.9218888,675.0,80142.0,32.0,3193.0,255.0
59,2.629879,1024.0,35790.0,25.0,703.0,499.0
60,2.5752873,974.0,251113.0,97.0,2.0,1964.0
61,3.9995427,256.0,2053.0,2.0,3200.0,32.0
62,2.5057871,766.0,237261.0,84.0,3089.0,719.0
63,2.6407833,1021.0,48890.0,30.0,2638.0,428.0
64,2.0492036,1017.0,95302.0,74.0,2496.0,360.0
65,2.2640898,1018.0,74688.0,59.0,2619.0,483.0
66,2.5506194,1019.0,75772.0,39.0,2750.0,490.0
67,2.5318325,1020.0,74846.0,43.0,2563.0,511.0
68,2.110908,811.0,102349.0,42.0,2957.0,243.0
69,2.3701117,1019.0,44188.0,38.0,2553.0,432.0
70,2.8709967,793.0,164664.0,50.0,3192.0,1628.0
71,2.2080235,1017.0,87012.0,63.0,2699.0,585.0
72,2.01069,914.0,196994.0,73.0,2992.0,502.0
73,1.793827,1020.0,24116.0,23.0,2810.0,200.0
74,2.2649653,1023.0,55950.0,36.0,2659.0,288.0
75,2.2419467,1020.0,50440.0,34.0,2662.0,355.0
76,1.9269154,1023.0,32000.0,35.0,2965.0,408.0
77,2.241552,1011.0,135109.0,89.0,2885.0,2043.0
78,1.9601859,931.0,196026.0,101.0,2985.0,801.0
79,2.8214965,478.0,310539.0,71.0,3159.0,295.0
80,3.0831733,754.0,142466.0,47.0,3196.0,863.0
81,2.401894,1022.0,54896.0,46.0,2728.0,743.0
82,1.9190366,1019.0,37658.0,36.0,2814.0,331.0
83,2.373499,1023.0,77524.0,39.0,2679.0,271.0
84,3.7911801,287.0,2998.0,3.0,3200.0,40.0
85,2.4386454,1024.0,43263.0,46.0,3109.0,1544.0
86,2.93113,737.0,9628.0,10.0,3195.0,72.0
87,2.0154705,1019.0,81299.0,48.0,2761.0,400.0
88,2.9606886,1023.0,34388.0,29.0,3081.0,1652.0
89,3.12142,1023.0,43473.0,34.0,2920.0,604.0
90,3.0606146,1021.0,63561.0,38.0,2883.0,676.0
91,2.0244763,1018.0,77032.0,60.0,2938.0,1056.0
92,2.3514445,1022.0,50219.0,37.0,2859.0,391.0
93,3.2821531,1023.0,88285.0,35.0,2917.0,981.0
94,2.0751758,1018.0,55678.0,44.0,2657.0,380.0
95,3.0507655,1023.0,28945.0,11.0,2935.0,448.0
96,2.174584,1022.0,59940.0,38.0,2609.0,282.0
97,2.2909465,1020.0,49383.0,40.0,2681.0,566.0
98,3.3992112,1023.0,73465.0,13.0,33.0,436.0
99,2.3763924,1020.0,61948.0,45.0,2922.0,875.0
100,2.2149715,1012.0,127790.0,85.0,2934.0,1182.0
