cpu_clock,isa,l1_size,l2_size,l3_size,num-cpus,mem_type,mem_clock,mem_size
1.89,X86_64,32,1019,131265,22,PC4-2933V,3150,708
2.95,X86_64,32,1008,90431,61,PC4-2666V,2619,338
2.68,X86_64,32,461,133054,67,PC4-2933Y,2891,516
3.72,X86_64,32,1021,52406,10,PC4-2666V,2611,782
2.72,X86_64,32,1015,72331,2,PC4-2666V,2720,1191
3.46,X86_64,32,1016,45303,40,PC4-2666V,2666,1365
2.25,X86_64,32,1014,86082,25,PC4-2666V,2880,487
1.85,X86_64,32,1010,177551,20,PC4-3200AA,3154,199
2.13,X86_64,32,256,127662,114,PC4-3200AA,3153,469
3.05,X86_64,32,1015,29390,32,PC4-2666V,147,345
2.01,X86_64,32,1009,103331,43,PC4-3200AA,2706,128
2.25,X86_64,32,256,131853,41,PC4-2933Y,3200,436
2.0,X86_64,32,1024,121474,61,PC4-2933Y,2914,2089
2.37,X86_64,32,493,29738,39,PC4-3200AA,3167,1820
1.86,X86_64,32,1024,34541,38,PC4-2933Y,2927,334
2.94,X86_64,32,256,36636,48,PC4-3200AA,3200,363
2.38,X86_64,32,1024,2048,44,PC4-2666V,2605,32
2.13,X86_64,32,1015,30843,21,PC4-2666V,2627,414
2.2,X86_64,32,256,112408,15,PC4-2666V,3140,114
2.19,X86_64,32,1023,262953,34,PC4-3200AA,3200,32
2.25,X86_64,32,1024,51128,22,PC4-2666V,2932,740
2.2,X86_64,32,283,82232,27,PC4-2933Y,2642,746
3.33,X86_64,32,518,72806,10,PC4-3200AA,2691,778
2.12,X86_64,32,1024,48273,57,PC4-2933Y,3151,693
2.25,X86_64,32,1013,105208,29,PC4-3200AA,2953,481
2.53,X86_64,32,497,10869,114,PC4-3200AA,3155,990
2.16,X86_64,32,1024,120921,16,PC4-3200AA,3200,745
2.29,X86_64,32,272,73319,38,PC4-2666V,2625,754
2.21,X86_64,32,1013,144769,54,PC4-3200AA,3200,349
2.38,X86_64,32,1024,97928,24,PC4-2666V,3174,532
1.95,X86_64,32,460,39494,42,PC4-2666V,2690,32
2.21,X86_64,32,256,73951,28,PC4-3200AA,2654,738
3.09,X86_64,32,1024,46793,10,PC4-2666V,2751,458
2.15,X86_64,32,1017,21724,44,PC4-2933V,2945,1898
2.0,X86_64,32,1019,115927,53,PC4-2933V,2901,696
1.8,X86_64,32,497,51837,13,PC4-2666V,2968,42
2.13,X86_64,32,1017,60790,47,PC4-2666V,2669,139
2.16,X86_64,32,513,52786,36,PC4-2933Y,2952,1977
1.97,X86_64,32,1021,224919,8,PC4-2666V,2966,319
2.23,X86_64,32,1007,48234,38,PC4-2933V,3137,2137
2.1,X86_64,32,1024,284102,32,PC4-2933V,2685,773
2.1,X86_64,32,1015,63292,126,PC4-2933V,3200,734
1.78,X86_64,32,1020,22745,26,PC4-2666V,3170,393
2.02,X86_64,32,1019,105685,37,PC4-2933V,3191,719
1.94,X86_64,32,1012,65019,131,0,2926,1937
1.98,X86_64,32,1015,63715,120,PC4-2933Y,3143,166
2.99,X86_64,32,1017,28992,42,PC4-2666V,3192,1835
3.49,X86_64,32,256,316335,73,PC4-3200AA,2912,377
2.57,X86_64,32,1017,11628,48,PC4-2666V,2626,1781
2.44,X86_64,32,1018,295897,69,PC4-2666V,2644,1114
2.21,X86_64,32,1003,287523,32,PC4-2933Y,3145,2012
2.11,X86_64,32,1024,2048,26,PC4-2666V,3169,357
1.85,X86_64,32,344,302425,40,PC4-2933Y,2949,1827
