cpu_clock,isa,l1_size,l2_size,l3_size,num-cpus,mem_type,mem_clock,mem_size
3.0790221029713893,X86_64,32,1024,98304,24,PC4-2933V,2933,1536
3.484857098243084,X86_64,32,1024,12288,80,PC4-2933V,2933,512
2.134584742453615,X86_64,32,512,36864,52,PC4-3200AA,0,256
2.41107454850905,X86_64,32,1024,77824,20,PC4-2933V,2933,768
2.0370966668922534,X86_64,32,1024,61440,4,PC4-2933Y,3200,384
2.4748541942613596,X86_64,32,1024,524288,16,PC4-3200AA,3200,384
2.1306639607112023,X86_64,32,256,22528,32,PC4-2666V,2666,192
3.272473664289269,X86_64,32,1024,262144,16,0,0,384
2.6820015179831698,X86_64,32,1024,49152,32,PC4-2933V,2933,64
1.957149868886682,X86_64,32,1024,77824,32,PC4-2666V,2933,768
1.998557977632559,X86_64,32,1024,45056,36,PC4-2933Y,2933,192
3.8526715026306886,X86_64,32,1024,26624,16,PC4-2933Y,2933,384
2.360007796034341,X86_64,32,1024,22528,24,PC4-2666V,2933,768
1.9772295702776133,X86_64,32,1024,49152,24,PC4-3200AA,3200,1024
3.2406051073765036,X86_64,32,256,49152,16,PC4-3200AA,3200,64
1.9521230015207367,X86_64,32,1024,55296,64,PC4-3200AA,0,768
2.833466265600564,X86_64,32,1024,32768,64,PC4-2933Y,2933,2048
1.8364630993780577,X86_64,32,1024,45056,52,PC4-2933Y,2933,192
2.660120494782155,X86_64,32,512,524288,16,PC4-3200AA,3200,1024
1.931497023976529,X86_64,32,1024,116736,40,PC4-3200AA,0,192
2.455575842989592,X86_64,32,1024,71680,20,PC4-2933Y,3200,384
3.199883781142835,X86_64,32,1024,98304,88,PC4-2933Y,2666,192
3.926500109254364,X86_64,32,256,24576,104,PC4-2666V,2666,768
2.032546388282647,X86_64,32,1024,49152,96,PC4-2933Y,2933,384
1.912289021847629,X86_64,32,1024,262144,80,PC4-3200AA,2933,512
2.325557320937913,X86_64,32,1024,12288,32,PC4-2666V,2666,512
2.1700757749332578,X86_64,32,1024,45056,36,PC4-2933Y,2933,384
2.9480974449409407,X86_64,32,1024,49152,16,PC4-2666V,2666,64
2.7117062965800556,X86_64,32,512,524288,56,PC4-3200AA,3200,2048
2.132193481610808,X86_64,32,1024,262144,80,PC4-3200AA,3200,1024
1.888791108544398,X86_64,32,1024,73728,56,PC4-3200AA,2666,512
2.2438124611168972,X86_64,32,1024,38912,20,PC4-2933V,2933,192
2.7730774980426767,X86_64,32,1024,262144,20,PC4-3200AA,3200,1024
2.0679748363896056,X86_64,32,1024,98304,32,PC4-3200AA,3200,2048
3.0285622357439164,X86_64,32,1024,16384,36,PC4-2933V,2666,384
3.037482881732744,X86_64,32,1024,61440,16,PC4-2933V,2666,512
3.0638644962493786,X86_64,32,256,71680,16,PC4-2933V,2666,384
3.319240633685797,X86_64,32,1024,71680,16,PC4-2933V,2933,192
1.937455736205761,X86_64,32,1024,22528,80,PC4-3200AA,3200,512
1.9118347121264834,X86_64,32,1024,12288,56,PC4-3200AA,3200,512
2.2524373703985994,X86_64,32,1024,26624,96,0,2666,768
3.9359983676098356,X86_64,32,512,524288,64,PC4-3200AA,3200,1536
2.147232979946438,X86_64,32,512,55296,16,PC4-3200AA,3200,512
1.9172019443629171,X86_64,32,1024,8192,24,PC4-2666V,2933,768
3.5939905625027184,X86_64,32,512,79872,36,PC4-2666V,2933,384
2.3704002522896097,X86_64,32,1024,131072,24,PC4-3200AA,3200,1024
2.329226100445607,X86_64,32,1024,116736,16,PC4-3200AA,3200,1024
2.6075260557700273,X86_64,32,1024,98304,64,PC4-3200AA,2933,512
1.8900618263287905,X86_64,32,1024,49152,32,PC4-2666V,2666,384
2.8432259411641287,X86_64,32,1024,77824,20,PC4-3200AA,2666,768
2.108015983201899,X86_64,32,512,45056,128,PC4-3200AA,3200,1024
2.0351477801755267,X86_64,32,1024,262144,16,PC4-3200AA,3200,384
2.3614597233426746,X86_64,32,1024,49152,64,PC4-3200AA,2933,512
2.1243006879331356,X86_64,32,512,262144,128,PC4-2666V,3200,2048
1.8199619387883703,X86_64,32,1024,45056,112,PC4-2933V,2933,768
3.7944721143410667,X86_64,32,256,49152,16,PC4-2933V,2666,512
