cpu_clock,isa,l1_size,l2_size,l3_size,num-cpus,mem_type,mem_clock,mem_size
2.03,X86_64,32,1024,34074,24,PC4-2666V,2666,383
2.3,X86_64,32,1023,76459,37,PC4-3200AA,3200,507
2.11,X86_64,32,1024,84159,34,PC4-2933Y,2933,771
2.38,X86_64,32,1024,80507,38,PC4-2933Y,2931,765
2.26,X86_64,32,1024,50414,47,PC4-2933V,2930,768
2.18,X86_64,32,1024,68560,60,PC4-2666V,2665,771
2.3,X86_64,32,1024,30395,13,PC4-3200AA,3200,517
2.04,X86_64,32,1024,46771,37,PC4-2666V,2665,382
2.23,X86_64,32,1024,44074,32,PC4-2666V,2665,383
3.31,X86_64,32,1024,11224,14,PC4-3200AA,3199,169
2.24,X86_64,32,1024,46279,36,PC4-2933V,2934,389
2.13,X86_64,32,1024,24854,19,PC4-2666V,2665,183
2.32,X86_64,32,1024,113721,71,PC4-2666V,2665,1533
3.41,X86_64,32,1024,7622,23,PC4-2666V,2666,139
2.17,X86_64,32,1024,111557,56,PC4-3200AA,3199,1018
3.39,X86_64,32,1024,28153,16,PC4-2666V,2668,385
3.28,X86_64,32,1024,14765,20,PC4-3200AA,3200,520
2.4,X86_64,32,1024,74095,37,PC4-2666V,2932,766
2.23,X86_64,32,1024,19270,25,PC4-3200AA,3200,510
2.24,X86_64,32,1024,26348,14,PC4-3200AA,3200,174
3.31,X86_64,32,1024,48342,22,PC4-2666V,2667,159
3.77,X86_64,32,512,16971,8,PC4-3200AA,3200,94
2.27,X86_64,32,1024,34212,28,PC4-2666V,2664,181
2.2,X86_64,32,1024,94223,70,PC4-3200AA,3198,1015
2.06,X86_64,32,1024,23981,28,PC4-2666V,2667,384
2.1,X86_64,32,1024,47679,17,PC4-2933Y,2932,183
2.4,X86_64,32,1024,69098,65,PC4-3200AA,3199,516
2.22,X86_64,32,1024,16211,22,PC4-3200AA,3200,168
2.17,X86_64,32,512,513341,65,PC4-3200AA,3199,1012
2.1,X86_64,32,1024,36104,20,PC4-2666V,2667,397
2.26,X86_64,32,1024,101456,58,PC4-2933V,2933,773
2.39,X86_64,32,1024,57104,21,PC4-2666V,2666,385
2.08,X86_64,32,1024,95725,60,PC4-3200AA,3197,1022
2.37,X86_64,32,1024,41477,65,PC4-3200AA,3200,1543
2.94,X86_64,32,1024,30342,25,PC4-3200AA,3200,514
2.45,X86_64,32,1024,70346,79,PC4-3200AA,3200,516
2.04,X86_64,32,1024,70799,54,PC4-2933V,2934,768
3.31,X86_64,32,513,228839,19,PC4-3200AA,3199,510
3.48,X86_64,32,1024,74234,15,PC4-3200AA,3199,516
1.95,X86_64,32,1024,73269,53,PC4-2666V,2667,761
2.18,X86_64,32,1024,71432,65,PC4-2933Y,2931,381
2.32,X86_64,32,1024,88025,54,PC4-2666V,2663,770
2.13,X86_64,32,1024,51626,18,PC4-3200AA,3200,517
3.54,X86_64,32,1024,31023,15,PC4-2666V,2668,149
2.37,X86_64,32,1024,75712,29,PC4-3200AA,3199,146
2.35,X86_64,32,1024,41938,28,PC4-2666V,2666,165
2.04,X86_64,32,1024,18092,39,PC4-2666V,2666,766
2.06,X86_64,32,1024,59103,47,PC4-2933Y,2935,769
2.26,X86_64,32,1024,131563,64,PC4-3200AA,3200,1028
