cpu_clock,isa,l1_size,l2_size,l3_size,num-cpus,mem_type,mem_clock,mem_size
2.0,X86_64,32,1024,32768,24,PC4-2666V,2666,384
2.3,X86_64,32,1024,77824,36,PC4-3200AA,3200,512
2.1,X86_64,32,1024,86016,36,PC4-2933Y,2933,768
2.4,X86_64,32,1024,79872,36,PC4-2933Y,2933,768
2.25,X86_64,32,1024,49152,48,PC4-2933V,2933,768
2.2,X86_64,32,1024,67584,56,PC4-2666V,2666,768
2.3,X86_64,32,1024,30720,12,PC4-3200AA,3200,512
2.0,X86_64,32,1024,45056,36,PC4-2666V,2666,384
2.25,X86_64,32,1024,45056,32,PC4-2666V,2666,384
3.3,X86_64,32,1024,12288,16,PC4-3200AA,3200,176
2.25,X86_64,32,1024,45056,36,PC4-2933V,2933,384
2.1,X86_64,32,1024,24576,20,PC4-2666V,2666,176
2.3,X86_64,32,1024,112640,72,PC4-2666V,2666,1536
3.4,X86_64,32,1024,8192,24,PC4-2666V,2666,128
2.2,X86_64,32,1024,110592,56,PC4-3200AA,3200,1024
3.4,X86_64,32,1024,27648,16,PC4-2666V,2666,384
3.3,X86_64,32,1024,15360,20,PC4-3200AA,3200,512
2.4,X86_64,32,1024,73728,36,PC4-2666V,2933,768
2.25,X86_64,32,1024,18432,24,PC4-3200AA,3200,512
2.25,X86_64,32,1024,26624,16,PC4-3200AA,3200,176
3.3,X86_64,32,1024,49152,24,PC4-2666V,2666,176
3.8,X86_64,32,512,16384,8,PC4-3200AA,3200,96
2.25,X86_64,32,1024,32768,28,PC4-2666V,2666,176
2.2,X86_64,32,1024,98304,72,PC4-3200AA,3200,1024
2.1,X86_64,32,1024,24576,28,PC4-2666V,2666,384
2.1,X86_64,32,1024,49152,16,PC4-2933Y,2933,176
2.4,X86_64,32,1024,67584,64,PC4-3200AA,3200,512
2.2,X86_64,32,1024,16384,24,PC4-3200AA,3200,176
2.2,X86_64,32,512,524288,64,PC4-3200AA,3200,1024
2.1,X86_64,32,1024,35840,20,PC4-2666V,2666,384
2.25,X86_64,32,1024,98304,56,PC4-2933V,2933,768
2.4,X86_64,32,1024,55296,20,PC4-2666V,2666,384
2.1,X86_64,32,1024,98304,56,PC4-3200AA,3200,1024
2.35,X86_64,32,1024,43008,64,PC4-3200AA,3200,1536
2.95,X86_64,32,1024,30720,24,PC4-3200AA,3200,512
2.45,X86_64,32,1024,71680,80,PC4-3200AA,3200,512
2.0,X86_64,32,1024,71680,56,PC4-2933V,2933,768
3.3,X86_64,32,512,233472,20,PC4-3200AA,3200,512
3.5,X86_64,32,1024,73728,16,PC4-3200AA,3200,512
2.0,X86_64,32,1024,73728,52,PC4-2666V,2666,768
